"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"116",717084,"Near OHSU! Pristine Bdrm/Private Vanity/Close-In",3190134,"Jenna",NA,"Hillsdale",45.48694,-122.69223,"Private room",38,30,7,"2017-08-25",0.08,4,365
"117",748584,"Modern House with Japanese Garden",3092836,"Morgan",NA,"South Burlingame",45.46622,-122.68864,"Private room",50,1,54,"2020-03-20",0.62,1,74
"118",760737,"Remodeled basement studio in central Portland",2646777,"Kyle",NA,"Buckman",45.5203,-122.64255,"Entire home/apt",80,2,103,"2020-06-14",4.27,1,216
"119",762386,"Urban treehouse in Portland, OR! - 1 bedroom",416155,"Brad & Becca",NA,"Creston-Kenilworth",45.49103,-122.62045,"Private room",78,1,796,"2020-05-07",8.54,2,301
"120",774924,"Visit Portland w/Pets or Kids; sunny suite in NE!",3622006,"Lee Ann",NA,"Grant Park",45.54113,-122.62643,"Entire home/apt",135,2,58,"2019-12-08",0.63,1,17
"121",775426,"Modern & Beautiful House Centrally Located in Vibrant Alberta Arts District",1150082,"Michelle",NA,"King",45.55847,-122.6508,"Entire home/apt",335,1,155,"2020-03-03",1.74,6,262
"122",778346,"Downtown NW Condo on Streetcar Line",444503,"Olivia",NA,"Northwest District",45.53044,-122.69129,"Entire home/apt",63,31,19,"2019-08-25",0.21,1,178
"123",784126,"Portland condo near OHSU, VA Hospital & downtown!",4134978,"Huma",NA,"Homestead",45.49632,-122.6899,"Entire home/apt",75,30,44,"2020-05-05",0.74,1,311
"124",784952,"Overlook Mid-Century Apartment",3159169,"Reenie",NA,"Overlook",45.5625,-122.68794,"Entire home/apt",80,2,261,"2020-06-16",2.86,1,343
"125",789798,"Artsy, private lower level, close to downtown",4161754,"Rhonda & Doug",NA,"Ashcreek",45.45631,-122.73765,"Entire home/apt",78,2,146,"2020-02-18",1.69,1,310
"126",798113,"Kinley Manor Coach House Experience",4203145,"Rupert Kinnard",NA,"Irvington",45.5363,-122.65549,"Entire home/apt",150,1,115,"2020-07-05",1.35,2,5
"127",801318,"Ideally Located, Modern & Artistic Large House ~ Perfect for Groups",1150082,"Michelle",NA,"King",45.55966,-122.65155,"Entire home/apt",453,1,64,"2020-02-02",0.7,6,307
"128",838961,"Studio Apartment - Private Entry",4382924,"Reggie",NA,"Parkrose Heights",45.54551,-122.54518,"Entire home/apt",69,7,22,"2019-12-15",0.29,1,187
"129",850325,"Historic Dist: Walk Downtown & OHSU",991471,"Jan",NA,"South Portland",45.49631,-122.67626,"Private room",72,30,106,"2016-05-19",1.25,1,365
"130",857046,"Lg Spacious Room, FUN Alberta Arts",501715,"Teresa",NA,"Sabin",45.55676,-122.64885,"Private room",30,30,30,"2017-11-24",0.34,5,342
"131",857220,"Spacious, Comfy Basement Suite",4440080,"Lori 'N Podji",NA,"Foster-Powell",45.49162,-122.58212,"Private room",59,1,268,"2020-07-05",2.96,1,319
"132",870827,"NW Nob Hill Garden Cottage",1001311,"Alleyn",NA,"Northwest District",45.53291,-122.70751,"Entire home/apt",95,1,564,"2020-06-29",6.19,1,157
"133",871985,"Beautiful Alberta Arts District Apt",3528646,"Aysha",NA,"Sabin",45.55663,-122.64955,"Entire home/apt",110,1,425,"2020-02-17",4.74,1,295
"134",882150,"Northeast Vintage Hideout with Hot Tub & Gardens!",4667131,"Nick",NA,"Roseway",45.54904,-122.58215,"Entire home/apt",99,2,170,"2020-03-17",1.99,1,306
"135",885006,"SW Room w/ sweet Dalmatian co-host & EV Charger",4688334,"Gina",NA,"Multnomah",45.46352,-122.70938,"Private room",42,1,311,"2020-03-08",3.46,2,361
"136",898771,"The Rustic Modern Tiny House (30 days+)",64037,"Michael And Jenna",NA,"King",45.55524,-122.66328,"Entire home/apt",45,31,343,"2020-06-30",3.82,1,302
"137",902805,"Great Location! 5 Bedrooms! Family Friendly",4825949,"Kara And James",NA,"Ashcreek",45.45535,-122.73311,"Entire home/apt",310,3,40,"2020-06-15",0.44,1,330
"138",921586,"Mid-Century House in SW Portland",4955213,"Tim",NA,"South Burlingame",45.46645,-122.68438,"Entire home/apt",150,30,4,"2015-11-29",0.05,1,0
"139",921597,"Pearl District Loft: Urban Oasis",4955336,"BettyLou",NA,"Pearl",45.53085,-122.68462,"Entire home/apt",99,30,13,"2020-04-30",0.15,1,245
"140",927432,"Spacious, charming, & well-located Portland house",1916182,"Alexis",NA,"Humboldt",45.56317,-122.67034,"Entire home/apt",149,30,8,"2019-10-06",0.09,1,194
"141",929954,"Authentic Portland, Levity Lodge #3",975606,"Leo",NA,"Rose City Park",45.54455,-122.60223,"Private room",52,30,11,"2019-08-25",0.13,3,365
"142",938257,"Pink House off Mississippi-ask for DEALS 4-6nights",1515905,"Rick",NA,"Boise",45.54962,-122.67387,"Entire home/apt",108,2,449,"2020-05-08",5.15,2,4
"143",938283,"Green House Mississippi-ask for DEALS on 4-6nights",1515905,"Rick",NA,"Boise",45.54878,-122.67522,"Entire home/apt",101,1,471,"2020-06-25",5.43,2,160
"144",942885,"Simple and Spacious on NW 23rd",5097860,"Max",NA,"Northwest District",45.5275,-122.7005,"Entire home/apt",360,3,159,"2020-02-20",1.79,1,66
"145",951387,"Quiet Private Studio in Inner NE near Bus & Bike",5161731,"Debra & Ludger",NA,"Boise",45.55387,-122.66625,"Entire home/apt",74,2,422,"2020-06-26",4.72,1,140
"146",958634,"Spacious Private Suite for Extended Stays",5216499,"Allison",NA,"South Tabor",45.50251,-122.58144,"Private room",38,30,22,"2020-04-04",0.26,1,333
"147",967959,"Authentic Alberta Arts Abode",1507209,"Penelope And Nathan",NA,"King",45.55715,-122.65553,"Entire home/apt",125,1,493,"2020-03-15",5.73,1,27
"148",979746,"Apartment in Beautiful NW Portland",5362674,"Jacek",NA,"Northwest District",45.5294,-122.69724,"Entire home/apt",102,1,353,"2020-03-11",4.04,1,35
"149",993073,"PDX Eco Cottage Guesthouse",5455260,"Susan",NA,"Hosford-Abernethy",45.50661,-122.64996,"Entire home/apt",160,2,246,"2020-03-18",2.85,2,281
"150",997150,"Lovely Laurelhurst Craftsman Apt",3041678,"Cora",NA,"Buckman",45.52167,-122.63846,"Entire home/apt",85,1,341,"2020-03-18",3.91,1,57
"151",1003617,"The Portland Villa on Alberta St",4430753,"Catie",NA,"Concordia",45.55856,-122.63717,"Entire home/apt",400,2,178,"2020-06-28",2.51,1,291
"152",1006381,"Mid Century Modern",4246850,"Daniel",NA,"King",45.56378,-122.6616,"Entire home/apt",109,43,95,"2019-08-30",1.09,4,327
