"COUNTRY","COMP","HLTHEXP","EDUC","DALE","GINI","TROPICS","POPDEN","PUBTHE","GDPC","GEFF","VOICE","HAPPY","Factor.Tropics"
"Sierra Leone",35.69057,31.44406,2.573255,25.92086,0.6091,1,66.30461,9.7,641.7155,0.009,-1.623,3,"1"
"El Salvador",67.86023,154.3263,3.592362,59.22853,0.5001,1,290.1394,37.2,3246.094,-0.262,-0.1,42,"1"
"Somalia",49.36176,11.06188,1.0606,36.31383,0.334725,1,13.70896,71.4,737.4588,-1.697,-1.694,18,"1"
"Slovakia",83.77671,269.0399,10.16979,65.84834,0.1873,0,111.2180023,81.8,7057.612,-0.032,0.738,21,"0"
"Slovenia",86.4761,835.5659,8.871078,67.27425,0.2604,0,95.5189972,80.8,11083.81,0.567,1.066,27,"0"
"Sweden",90.96922,1837.521,9.59424,72.25932,0.2429,0,19.95147,78,21093.61,1.573,1.628,68,"0"
"Syria",71.11044,95.06709,5.457739,57.35205,0.3679,0,79.23328,33.6,4293.097,-1.181,-1.358,10,"0"
"Togo",60.95445,42.56456,3.261572,41.70441,0.444238,1,75.84976,42.8,1230.593,-0.374,-1.051,1,"1"
"Thailand",80.55582,267.0333,5.834805,60.04078,0.3988,1,117.6426,33,6130.667,0.01,0.215,20,"1"
"Tajikistan",67.11851,105.7588,7.912294,56.04052,0.319462,0,41.29302,87.8,1231.329,-1.423,-1.565,7,"0"
"Turkmenistan",67.62697,53.1764,7.659199,54.52082,0.3932,0,8.7559996,86,2086.394,-1.252,-1.451,52,"0"
"Trinidad and Tobago",79.71739,286.5211,7.276237,63.69416,0.389,1,253.7658,58.6,7771.288,0.521,0.953,44,"1"
"Tunisia",76.04214,217.1699,4.382005,59.7591,0.3864,0,59.24768,41.7,4600.777,0.633,-0.589,14,"0"
"Turkey",73.75501,189.309,4.042817,61.08082,0.3979,0,80.39946,74,5872.366,-0.412,-0.859,13,"0"
"Uganda",60.72412,34.18021,1.891651,35.2766,0.3743,1,99.05495,38.7,1064.219,-0.251,-0.517,6,"1"
"Ukraine",81.32495,169.1897,9.132311,64.34843,0.3132,0,85.21548,75.5,2303.061,-0.893,-0.008,21,"0"
"Uruguay",80.52442,543.952,7.302912,66.32887,0.4075,0,18.3448,20.3,8476.808,0.618,0.77,41,"0"
"United States of America",90.44346,3326.02,11.5,69.72151,0.3924,0,2883.17,44.1,27162.55,1.366,1.505,57,"0"
"Uzbekistan",73.69603,124.7912,7.066649,60.35472,0.3227,0,52.61611,80.9,2608.276,-1.305,-1.343,18,"0"
"Venezuela",77.78915,300.7437,5.087951,64.33379,0.4684,1,24.87126,67.4,7705.707,-0.849,0.179,50,"1"
"Vietnam",65.01073,52.71697,8.407147,57.32494,0.3461,1,232.4986,20,1354.894,-0.3,-1.416,14,"1"
"Yemen",60.88839,32.15713,1.417066,48.41396,0.3798,1,40.1066,37.9,975.4692,-0.621,-0.415,14,"1"
"South Africa",59.78759,551.256,5.558424,39.22404,0.5707,0,3343.239,46.5,5621.199,-0.01,0.991,21,"0"
"Zambia",57.84963,47.68624,5.004884,33.34867,0.476,1,12.70456,53.3,1089.233,-0.399,-0.046,14,"1"
"Zimbabwe",63.25481,101.26,3.744563,34.62983,0.5427,1,29.63358,48,2103.093,-1.129,-0.666,10,"1"
